type,plate_x,plate_z,player_name
S,-0.92,3.47,"Verlander, Justin"
S,-0.02,2.03,"Verlander, Justin"
S,-0.3,3.37,"Verlander, Justin"
S,0.74,2.57,"Verlander, Justin"
S,0.09,2.7,"Verlander, Justin"
B,1.46,2.6,"Verlander, Justin"
B,1.57,0.63,"Verlander, Justin"
S,0.42,2.62,"Verlander, Justin"
S,1.26,2.28,"Verlander, Justin"
S,-0.26,3.16,"Verlander, Justin"
B,1.62,2.4,"Verlander, Justin"
S,0.34,2.22,"Verlander, Justin"
X,0.68,1.54,"Verlander, Justin"
S,0.03,3.38,"Verlander, Justin"
B,-1.63,3.16,"Verlander, Justin"
S,-0.58,1.82,"Verlander, Justin"
B,1.04,2.38,"Verlander, Justin"
X,0.51,1.96,"Verlander, Justin"
S,0.27,3.61,"Verlander, Justin"
B,1.23,1.61,"Verlander, Justin"
S,-0.71,2.54,"Verlander, Justin"
S,0.39,2.79,"Verlander, Justin"
X,1.25,2.67,"Verlander, Justin"
S,0.26,3.5,"Verlander, Justin"
B,1.17,0.95,"Verlander, Justin"
S,0.16,2.19,"Verlander, Justin"
X,0.75,2.59,"Verlander, Justin"
B,1.32,1.2,"Verlander, Justin"
B,1.34,3.51,"Verlander, Justin"
X,0.73,1.75,"Verlander, Justin"
S,-0.2,3.39,"Verlander, Justin"
S,-0.11,3.32,"Verlander, Justin"
B,0.94,2.12,"Verlander, Justin"
S,0.42,1.97,"Verlander, Justin"
X,-0.58,1.28,"Verlander, Justin"
S,0.87,1.9,"Verlander, Justin"
S,-0.55,3.66,"Verlander, Justin"
S,-0.06,2.73,"Verlander, Justin"
X,0.77,2.24,"Verlander, Justin"
B,1.93,0.95,"Verlander, Justin"
S,-0.38,3.04,"Verlander, Justin"
S,0.8,2.17,"Verlander, Justin"
B,1.74,0.99,"Verlander, Justin"
B,-1.32,3.05,"Verlander, Justin"
S,-0.81,2.75,"Verlander, Justin"
S,0.27,3.39,"Verlander, Justin"
S,0.37,3.05,"Verlander, Justin"
S,0.06,2.94,"Verlander, Justin"
S,-0.2,2.1,"Verlander, Justin"
B,-0.15,4.26,"Verlander, Justin"
B,0.22,3.73,"Verlander, Justin"
S,-0.03,2.74,"Verlander, Justin"
B,-1.48,4.89,"Verlander, Justin"
S,-0.76,2.98,"Verlander, Justin"
S,-0.78,3.35,"Verlander, Justin"
X,-0.74,2.93,"Verlander, Justin"
B,2.08,-0.07,"Verlander, Justin"
B,2.11,0.96,"Verlander, Justin"
S,1.01,2.79,"Verlander, Justin"
S,-0.08,3.58,"Verlander, Justin"
S,0.53,1.86,"Verlander, Justin"
B,1.54,2.86,"Verlander, Justin"
B,1.28,3.13,"Verlander, Justin"
B,1.11,2.61,"Verlander, Justin"
B,-1.14,3.61,"Verlander, Justin"
S,0.71,2.17,"Verlander, Justin"
X,0.06,2.52,"Verlander, Justin"
X,0.44,3.21,"Verlander, Justin"
S,0.21,3.45,"Verlander, Justin"
S,0.9,2.23,"Verlander, Justin"
X,0.14,2.23,"Verlander, Justin"
B,0.37,1.76,"Verlander, Justin"
X,-0.55,3.42,"Verlander, Justin"
S,-1.2,3.32,"Verlander, Justin"
S,0.29,2.7,"Verlander, Justin"
X,0.16,2.17,"Verlander, Justin"
B,-0.63,3.6,"Verlander, Justin"
B,1.69,1.72,"Verlander, Justin"
B,1.1,1.16,"Verlander, Justin"
S,0.78,2.56,"Verlander, Justin"
X,0.12,1.56,"Verlander, Justin"
X,0.85,2.15,"Verlander, Justin"
S,-0.2,2.09,"Verlander, Justin"
X,-0.13,2.72,"Verlander, Justin"
B,0.28,4.22,"Verlander, Justin"
B,0.15,3.95,"Verlander, Justin"
S,0.02,2.9,"Verlander, Justin"
B,1.71,1.37,"Verlander, Justin"
S,-0.25,2.48,"Verlander, Justin"
X,-0.05,3.01,"Verlander, Justin"
S,0.43,2.35,"Verlander, Justin"
B,1.04,2.95,"Verlander, Justin"
B,-0.29,1.28,"Verlander, Justin"
B,-1.64,1.58,"Verlander, Justin"
X,0.12,2.77,"Verlander, Justin"
S,-0.3,1.85,"Verlander, Justin"
S,-0.32,2.91,"Verlander, Justin"
S,0.1,2.56,"Verlander, Justin"
B,1.06,1.71,"Verlander, Justin"
B,-1.28,3.35,"Verlander, Justin"
X,0.57,2.85,"Verlander, Justin"
B,0.54,1.73,"Verlander, Justin"
S,0.72,3.82,"Verlander, Justin"
S,-0.3,2.83,"Verlander, Justin"
S,-0.49,2.45,"Verlander, Justin"
S,-0.92,3.07,"Verlander, Justin"
X,0.68,1.72,"Verlander, Justin"
B,-1.12,2.98,"Verlander, Justin"
S,0.87,1.96,"Verlander, Justin"
S,0.6,2.58,"Verlander, Justin"
B,-1.55,4.7,"Verlander, Justin"
S,0.18,2.08,"Verlander, Justin"
S,-0.35,3.1,"Verlander, Justin"
S,0.75,2.39,"Verlander, Justin"
B,-0.75,4.31,"Verlander, Justin"
S,0.07,1.68,"Verlander, Justin"
S,-0.59,3.74,"Verlander, Justin"
S,0.22,1.8,"Verlander, Justin"
X,0.66,1.82,"Verlander, Justin"
S,0.48,2.21,"Verlander, Justin"
S,0.16,2.29,"Verlander, Justin"
S,-0.07,1.81,"Verlander, Justin"
B,0.75,3.15,"Verlander, Justin"
S,0.81,1.72,"Verlander, Justin"
S,1.07,1.65,"Verlander, Justin"
S,0.43,2.25,"Verlander, Justin"
S,0.03,2.34,"Verlander, Justin"
B,0.52,0.66,"Verlander, Justin"
S,-0.19,2.91,"Verlander, Justin"
S,-1.16,2.82,"Verlander, Justin"
B,-1.55,3.18,"Verlander, Justin"
B,-0.36,4.33,"Verlander, Justin"
B,-0.46,4.83,"Verlander, Justin"
S,0.35,2.73,"Verlander, Justin"
S,-0.65,4.3,"Verlander, Justin"
S,-0.08,1.62,"Verlander, Justin"
S,-0.38,3.66,"Verlander, Justin"
X,-0.1,2.17,"Verlander, Justin"
B,-0.01,1.61,"Verlander, Justin"
X,0.21,2.01,"Verlander, Justin"
S,-0.23,3.84,"Verlander, Justin"
S,0.78,1.44,"Verlander, Justin"
S,0.54,2.44,"Verlander, Justin"
B,-1.67,3.14,"Verlander, Justin"
B,0.44,1.05,"Verlander, Justin"
S,-0.7,3.29,"Verlander, Justin"
X,0.77,2.12,"Verlander, Justin"
B,1.49,1.99,"Verlander, Justin"
S,-0.58,1.61,"Verlander, Justin"
B,1.26,2.05,"Verlander, Justin"
S,0.32,2.32,"Verlander, Justin"
X,0.16,2.77,"Verlander, Justin"
S,-0.71,3.01,"Verlander, Justin"
S,0.01,3.26,"Verlander, Justin"
S,0.41,2.33,"Verlander, Justin"
B,0.64,3.41,"Verlander, Justin"
B,-1.6,3.06,"Verlander, Justin"
B,-0.53,4.62,"Verlander, Justin"
S,-0.73,2.18,"Verlander, Justin"
S,0.35,3.1,"Verlander, Justin"
S,1.7,1.16,"Verlander, Justin"
B,1.92,1.28,"Verlander, Justin"
S,0.29,2.71,"Verlander, Justin"
S,-0.51,2.05,"Verlander, Justin"
X,-1.16,2.88,"Verlander, Justin"
S,-0.45,3.19,"Verlander, Justin"
S,1.22,2.54,"Verlander, Justin"
S,0.04,2.46,"Verlander, Justin"
S,-0.33,2.58,"Verlander, Justin"
B,-1.64,3.94,"Verlander, Justin"
X,-0.16,3.32,"Verlander, Justin"
S,0.46,2.1,"Verlander, Justin"
B,0.88,1.63,"Verlander, Justin"
X,-0.97,2.69,"Verlander, Justin"
B,-1.68,1.8,"Verlander, Justin"
B,-1.1,1.11,"Verlander, Justin"
S,0.31,3.12,"Verlander, Justin"
S,0.23,2.34,"Verlander, Justin"
B,-1.67,3.49,"Verlander, Justin"
S,0.31,3.11,"Verlander, Justin"
B,-1.54,3.24,"Verlander, Justin"
B,-0.96,3.82,"Verlander, Justin"
S,0.44,2.5,"Verlander, Justin"
S,-0.43,2.82,"Verlander, Justin"
S,0.99,1.54,"Verlander, Justin"
S,0.99,2.29,"Verlander, Justin"
S,0.55,2.59,"Verlander, Justin"
B,1.08,2.1,"Verlander, Justin"
S,-0.42,1.79,"Verlander, Justin"
S,-0.15,1.77,"Verlander, Justin"
B,-1.26,1.92,"Verlander, Justin"
B,0.64,1.07,"Verlander, Justin"
S,0.76,2.1,"Verlander, Justin"
B,1.23,2.45,"Verlander, Justin"
X,0.49,2.87,"Verlander, Justin"
X,0.49,2.41,"Verlander, Justin"
S,0.96,1.89,"Verlander, Justin"
B,1.63,1.16,"Verlander, Justin"
B,1.74,0.0,"Verlander, Justin"
S,0.78,2.63,"Verlander, Justin"
S,0.1,2.38,"Verlander, Justin"
B,1.2,1.67,"Verlander, Justin"
X,0.33,3.11,"Verlander, Justin"
S,-0.13,2.49,"Verlander, Justin"
B,2.15,0.85,"Verlander, Justin"
S,1.1,0.95,"Verlander, Justin"
B,1.47,2.31,"Verlander, Justin"
B,0.65,1.56,"Verlander, Justin"
S,0.16,0.94,"Verlander, Justin"
S,0.43,1.63,"Verlander, Justin"
B,-0.63,3.74,"Verlander, Justin"
X,0.11,3.11,"Verlander, Justin"
S,0.8,2.02,"Verlander, Justin"
B,1.05,1.58,"Verlander, Justin"
B,-1.17,2.75,"Verlander, Justin"
S,-0.82,2.48,"Verlander, Justin"
S,0.45,1.93,"Verlander, Justin"
S,0.06,2.43,"Verlander, Justin"
B,0.74,1.7,"Verlander, Justin"
S,-0.02,3.38,"Verlander, Justin"
X,0.54,2.77,"Verlander, Justin"
S,-0.14,3.15,"Verlander, Justin"
B,0.73,2.28,"Verlander, Justin"
B,0.58,4.6,"Verlander, Justin"
X,0.51,3.11,"Verlander, Justin"
S,0.89,1.53,"Verlander, Justin"
S,0.2,2.7,"Verlander, Justin"
B,1.48,1.83,"Verlander, Justin"
X,0.05,3.21,"Verlander, Justin"
S,-0.86,3.44,"Verlander, Justin"
B,1.84,1.61,"Verlander, Justin"
B,0.59,1.16,"Verlander, Justin"
S,0.43,3.6,"Verlander, Justin"
B,-0.75,4.37,"Verlander, Justin"
S,-0.88,3.41,"Verlander, Justin"
S,0.17,2.54,"Verlander, Justin"
X,0.46,2.61,"Verlander, Justin"
S,0.48,1.72,"Verlander, Justin"
X,-0.29,2.39,"Verlander, Justin"
B,0.77,1.64,"Verlander, Justin"
B,1.26,0.73,"Verlander, Justin"
B,1.91,-0.26,"Verlander, Justin"
S,0.23,1.76,"Verlander, Justin"
X,0.25,2.41,"Verlander, Justin"
S,-0.57,1.77,"Verlander, Justin"
S,0.21,1.98,"Verlander, Justin"
B,-1.19,1.55,"Verlander, Justin"
S,0.42,3.08,"Verlander, Justin"
S,0.39,3.82,"Verlander, Justin"
B,1.53,1.01,"Verlander, Justin"
B,1.17,0.78,"Verlander, Justin"
S,0.96,2.1,"Verlander, Justin"
S,0.19,2.75,"Verlander, Justin"
X,0.57,2.34,"Verlander, Justin"
S,-0.65,3.02,"Verlander, Justin"
S,0.32,2.52,"Verlander, Justin"
B,1.54,2.36,"Verlander, Justin"
B,1.88,1.76,"Verlander, Justin"
S,0.08,3.12,"Verlander, Justin"
B,1.15,1.51,"Verlander, Justin"
S,0.7,2.7,"Verlander, Justin"
X,0.02,2.7,"Verlander, Justin"
B,0.95,0.63,"Verlander, Justin"
X,0.14,1.7,"Verlander, Justin"
B,0.88,1.14,"Verlander, Justin"
S,0.3,2.54,"Verlander, Justin"
S,0.25,3.05,"Verlander, Justin"
S,1.28,2.16,"Verlander, Justin"
S,-0.08,3.52,"Verlander, Justin"
B,0.86,0.73,"Verlander, Justin"
S,-0.46,2.5,"Verlander, Justin"
S,-0.66,2.05,"Verlander, Justin"
S,0.72,1.87,"Verlander, Justin"
S,0.03,3.26,"Verlander, Justin"
S,0.25,3.78,"Verlander, Justin"
S,-0.27,2.73,"Verlander, Justin"
S,-0.29,4.22,"Verlander, Justin"
S,-0.58,3.52,"Verlander, Justin"
S,-0.75,3.0,"Verlander, Justin"
S,-0.31,2.37,"Verlander, Justin"
S,-0.01,2.84,"Verlander, Justin"
B,1.08,3.63,"Verlander, Justin"
S,0.39,3.17,"Verlander, Justin"
S,-0.41,3.22,"Verlander, Justin"
X,-0.29,2.92,"Verlander, Justin"
B,1.27,1.39,"Verlander, Justin"
B,1.68,-0.11,"Verlander, Justin"
S,0.28,2.65,"Verlander, Justin"
B,2.29,1.63,"Verlander, Justin"
S,0.43,2.48,"Verlander, Justin"
S,-0.9,2.78,"Verlander, Justin"
X,-0.62,2.69,"Verlander, Justin"
S,0.77,2.31,"Verlander, Justin"
B,2.09,0.75,"Verlander, Justin"
S,0.36,2.6,"Verlander, Justin"
X,0.11,2.21,"Verlander, Justin"
X,-0.67,2.85,"Verlander, Justin"
S,0.21,2.22,"Verlander, Justin"
X,-0.18,2.37,"Verlander, Justin"
S,0.28,2.23,"Verlander, Justin"
S,0.7,2.63,"Verlander, Justin"
B,1.38,2.15,"Verlander, Justin"
S,0.75,2.96,"Verlander, Justin"
S,0.09,2.84,"Verlander, Justin"
B,0.07,1.43,"Verlander, Justin"
B,-1.44,2.93,"Verlander, Justin"
S,-0.28,1.64,"Verlander, Justin"
S,0.85,1.32,"Verlander, Justin"
S,0.18,1.79,"Verlander, Justin"
B,1.12,2.05,"Verlander, Justin"
S,-0.33,2.31,"Verlander, Justin"
S,0.26,1.53,"Verlander, Justin"
S,0.37,2.75,"Verlander, Justin"
B,1.47,0.27,"Verlander, Justin"
S,-0.51,2.56,"Verlander, Justin"
S,1.12,1.76,"Verlander, Justin"
S,-0.71,2.61,"Verlander, Justin"
B,0.8,1.33,"Verlander, Justin"
S,-0.58,3.3,"Verlander, Justin"
X,-0.38,3.48,"Verlander, Justin"
S,0.66,2.0,"Verlander, Justin"
B,0.54,0.61,"Verlander, Justin"
S,-0.31,3.23,"Verlander, Justin"
X,0.45,3.73,"Verlander, Justin"
S,-0.55,2.78,"Verlander, Justin"
S,0.7,2.37,"Verlander, Justin"
B,1.03,2.6,"Verlander, Justin"
X,-0.29,2.09,"Verlander, Justin"
S,0.96,2.49,"Verlander, Justin"
B,1.27,1.35,"Verlander, Justin"
X,0.03,1.69,"Verlander, Justin"
B,0.85,1.92,"Verlander, Justin"
X,0.21,1.76,"Verlander, Justin"
S,-1.03,1.9,"Verlander, Justin"
S,-0.61,2.8,"Verlander, Justin"
B,-1.76,2.95,"Verlander, Justin"
X,0.05,2.82,"Verlander, Justin"
S,0.29,2.47,"Verlander, Justin"
S,0.33,3.0,"Verlander, Justin"
S,-0.67,1.49,"Verlander, Justin"
B,-1.26,3.62,"Verlander, Justin"
X,-0.01,2.45,"Verlander, Justin"
S,-0.94,3.61,"Verlander, Justin"
B,-0.86,4.06,"Verlander, Justin"
S,0.54,2.9,"Verlander, Justin"
B,-1.54,2.63,"Verlander, Justin"
S,-0.55,2.63,"Verlander, Justin"
B,-0.27,3.8,"Verlander, Justin"
X,0.32,2.88,"Verlander, Justin"
B,-1.0,3.13,"Verlander, Justin"
S,0.02,2.59,"Verlander, Justin"
S,0.09,2.28,"Verlander, Justin"
X,-0.11,2.16,"Verlander, Justin"
B,0.33,4.36,"Verlander, Justin"
S,-0.54,2.87,"Verlander, Justin"
B,1.38,2.47,"Verlander, Justin"
B,1.11,2.23,"Verlander, Justin"
B,1.33,2.68,"Verlander, Justin"
X,0.61,3.01,"Verlander, Justin"
B,1.76,1.01,"Verlander, Justin"
S,0.33,2.22,"Verlander, Justin"
S,0.1,2.07,"Verlander, Justin"
S,-0.44,4.39,"Verlander, Justin"
S,0.01,2.01,"Verlander, Justin"
S,-0.25,2.7,"Verlander, Justin"
S,0.35,2.8,"Verlander, Justin"
B,0.36,3.9,"Verlander, Justin"
B,1.12,1.32,"Verlander, Justin"
B,0.19,1.7,"Verlander, Justin"
B,0.95,2.34,"Verlander, Justin"
X,0.23,2.31,"Verlander, Justin"
B,-1.91,2.86,"Verlander, Justin"
X,-0.04,2.51,"Verlander, Justin"
S,-0.08,2.31,"Verlander, Justin"
B,-0.42,3.45,"Verlander, Justin"
B,-0.02,3.92,"Verlander, Justin"
S,0.43,3.02,"Verlander, Justin"
B,0.02,4.29,"Verlander, Justin"
B,-0.06,3.72,"Verlander, Justin"
S,0.84,2.2,"Verlander, Justin"
S,0.78,1.24,"Verlander, Justin"
B,2.34,-0.27,"Verlander, Justin"
S,-0.02,2.57,"Verlander, Justin"
B,2.12,0.58,"Verlander, Justin"
S,-0.71,2.97,"Verlander, Justin"
B,-1.13,2.51,"Verlander, Justin"
X,-0.17,4.05,"Verlander, Justin"
S,-0.08,3.1,"Verlander, Justin"
X,-0.29,3.67,"Verlander, Justin"
S,0.52,3.66,"Verlander, Justin"
S,0.62,1.87,"Verlander, Justin"
B,0.97,2.21,"Verlander, Justin"
X,-0.77,3.34,"Verlander, Justin"
S,0.38,2.91,"Verlander, Justin"
S,-0.06,3.54,"Verlander, Justin"
S,-0.47,3.2,"Verlander, Justin"
S,-0.23,1.64,"Verlander, Justin"
B,-0.48,4.71,"Verlander, Justin"
B,-0.82,2.0,"Verlander, Justin"
S,-0.36,3.29,"Verlander, Justin"
B,0.82,3.46,"Verlander, Justin"
X,-1.03,2.86,"Verlander, Justin"
S,0.44,2.47,"Verlander, Justin"
S,0.36,2.51,"Verlander, Justin"
X,-0.66,1.76,"Verlander, Justin"
B,1.15,0.53,"Verlander, Justin"
S,-0.79,2.96,"Verlander, Justin"
S,-0.91,2.08,"Verlander, Justin"
S,-0.67,3.34,"Verlander, Justin"
X,-1.34,2.35,"Verlander, Justin"
S,-0.04,3.16,"Verlander, Justin"
X,0.49,2.69,"Verlander, Justin"
S,1.12,3.09,"Verlander, Justin"
B,1.35,2.58,"Verlander, Justin"
S,-1.59,4.47,"Verlander, Justin"
S,-0.11,2.98,"Verlander, Justin"
S,0.05,3.44,"Verlander, Justin"
X,0.29,3.11,"Verlander, Justin"
X,0.62,2.47,"Verlander, Justin"
B,-0.7,4.52,"Verlander, Justin"
S,0.14,2.19,"Verlander, Justin"
X,0.82,2.41,"Verlander, Justin"
S,0.09,2.64,"Verlander, Justin"
S,0.98,2.35,"Verlander, Justin"
B,1.51,1.1,"Verlander, Justin"
S,0.56,2.08,"Verlander, Justin"
B,0.27,1.51,"Verlander, Justin"
S,-0.18,4.42,"Verlander, Justin"
S,-0.42,2.07,"Verlander, Justin"
S,-0.66,3.3,"Verlander, Justin"
B,-0.97,2.49,"Verlander, Justin"
X,0.7,2.32,"Verlander, Justin"
X,0.6,4.06,"Verlander, Justin"
S,0.35,3.17,"Verlander, Justin"
S,-0.26,3.45,"Verlander, Justin"
B,1.52,3.88,"Verlander, Justin"
S,-0.04,2.4,"Verlander, Justin"
X,-0.78,1.95,"Verlander, Justin"
S,1.27,1.04,"Verlander, Justin"
S,0.96,2.35,"Verlander, Justin"
S,0.87,2.11,"Verlander, Justin"
X,-0.49,3.02,"Verlander, Justin"
X,-0.24,2.08,"Verlander, Justin"
S,0.86,2.44,"Verlander, Justin"
B,1.0,2.59,"Verlander, Justin"
S,-0.79,2.86,"Verlander, Justin"
S,-0.29,1.86,"Verlander, Justin"
S,1.66,1.62,"Verlander, Justin"
S,-0.18,2.89,"Verlander, Justin"
B,1.26,1.55,"Verlander, Justin"
S,-0.35,2.96,"Verlander, Justin"
X,0.11,2.44,"Verlander, Justin"
B,1.29,2.09,"Verlander, Justin"
S,-0.16,3.13,"Verlander, Justin"
B,0.31,1.47,"Verlander, Justin"
S,-0.33,2.95,"Verlander, Justin"
S,-0.38,2.36,"Verlander, Justin"
S,0.46,2.01,"Verlander, Justin"
S,-0.04,3.33,"Verlander, Justin"
S,-0.05,4.19,"Verlander, Justin"
B,1.07,3.84,"Verlander, Justin"
X,-0.33,2.99,"Verlander, Justin"
B,-0.02,4.35,"Verlander, Justin"
S,-0.05,2.83,"Verlander, Justin"
S,0.47,3.21,"Verlander, Justin"
B,0.63,1.29,"Verlander, Justin"
S,0.69,0.66,"Verlander, Justin"
S,0.9,1.75,"Verlander, Justin"
S,0.9,2.37,"Verlander, Justin"
S,-0.23,3.7,"Verlander, Justin"
S,-0.04,0.98,"Verlander, Justin"
B,-0.56,3.61,"Verlander, Justin"
X,0.33,1.52,"Verlander, Justin"
S,0.33,2.9,"Verlander, Justin"
S,0.35,2.06,"Verlander, Justin"
X,-0.61,1.98,"Verlander, Justin"
S,1.34,1.92,"Verlander, Justin"
S,0.81,3.38,"Verlander, Justin"
B,1.54,0.51,"Verlander, Justin"
B,1.41,3.02,"Verlander, Justin"
S,0.17,2.37,"Verlander, Justin"
S,0.77,2.19,"Verlander, Justin"
S,0.28,3.09,"Verlander, Justin"
S,-0.3,3.18,"Verlander, Justin"
B,0.52,4.27,"Verlander, Justin"
S,-0.47,3.44,"Verlander, Justin"
S,0.74,1.93,"Verlander, Justin"
S,0.33,3.2,"Verlander, Justin"
S,1.52,2.26,"Verlander, Justin"
S,0.83,2.52,"Verlander, Justin"
S,-0.62,1.97,"Verlander, Justin"
X,-0.46,3.08,"Verlander, Justin"
S,-0.17,1.46,"Verlander, Justin"
S,0.65,2.16,"Verlander, Justin"
X,0.19,3.29,"Verlander, Justin"
S,0.25,2.31,"Verlander, Justin"
B,1.04,1.8,"Verlander, Justin"
B,1.53,2.25,"Verlander, Justin"
S,0.16,3.22,"Verlander, Justin"
S,-0.69,3.73,"Verlander, Justin"
B,-1.1,4.13,"Verlander, Justin"
S,-0.77,3.68,"Verlander, Justin"
S,-0.57,3.38,"Verlander, Justin"
B,1.03,1.76,"Verlander, Justin"
S,1.17,1.99,"Verlander, Justin"
B,0.4,1.22,"Verlander, Justin"
S,-0.81,2.09,"Verlander, Justin"
X,0.45,1.52,"Verlander, Justin"
S,-0.63,2.13,"Verlander, Justin"
B,-1.13,1.86,"Verlander, Justin"
B,2.02,1.35,"Verlander, Justin"
S,0.47,2.63,"Verlander, Justin"
S,-0.49,2.28,"Verlander, Justin"
B,-0.5,3.97,"Verlander, Justin"
X,0.08,1.71,"Verlander, Justin"
B,1.51,1.5,"Verlander, Justin"
B,1.47,2.49,"Verlander, Justin"
S,-0.18,1.61,"Verlander, Justin"
X,0.16,2.7,"Verlander, Justin"
S,-0.48,2.83,"Verlander, Justin"
B,-0.03,3.52,"Verlander, Justin"
B,-0.73,3.43,"Verlander, Justin"
S,-0.71,3.39,"Verlander, Justin"
B,-1.26,4.12,"Verlander, Justin"
S,0.48,2.77,"Verlander, Justin"
B,-0.47,3.36,"Verlander, Justin"
S,0.9,2.18,"Verlander, Justin"
X,-0.05,2.86,"Verlander, Justin"
S,-1.1,2.28,"Verlander, Justin"
X,0.01,2.02,"Verlander, Justin"
S,0.38,3.03,"Verlander, Justin"
S,-1.16,2.26,"Verlander, Justin"
S,0.79,2.04,"Verlander, Justin"
B,1.22,1.1,"Verlander, Justin"
X,-0.04,2.24,"Verlander, Justin"
S,-0.31,2.6,"Verlander, Justin"
S,-0.47,2.79,"Verlander, Justin"
S,0.65,1.96,"Verlander, Justin"
X,-1.25,2.67,"Verlander, Justin"
S,-1.17,2.52,"Verlander, Justin"
X,0.28,1.89,"Verlander, Justin"
S,0.53,3.21,"Verlander, Justin"
B,-0.71,4.52,"Verlander, Justin"
B,0.04,3.94,"Verlander, Justin"
S,-0.65,3.34,"Verlander, Justin"
B,-0.51,1.6,"Verlander, Justin"
B,-0.74,3.66,"Verlander, Justin"
S,0.27,2.44,"Verlander, Justin"
B,-1.9,3.89,"Verlander, Justin"
B,0.82,1.31,"Verlander, Justin"
B,-2.06,3.29,"Verlander, Justin"
S,-1.02,2.7,"Verlander, Justin"
S,0.8,2.11,"Verlander, Justin"
S,0.08,2.27,"Verlander, Justin"
S,-1.1,1.83,"Verlander, Justin"
B,-0.13,4.24,"Verlander, Justin"
X,0.24,2.19,"Verlander, Justin"
S,1.0,1.95,"Verlander, Justin"
S,-0.63,2.37,"Verlander, Justin"
B,0.92,3.31,"Verlander, Justin"
S,-1.21,2.12,"Verlander, Justin"
B,-1.33,3.17,"Verlander, Justin"
B,-1.89,2.2,"Verlander, Justin"
S,0.47,2.65,"Verlander, Justin"
X,0.39,3.76,"Verlander, Justin"
B,1.92,1.98,"Verlander, Justin"
S,0.42,3.84,"Verlander, Justin"
S,0.6,3.45,"Verlander, Justin"
B,0.09,3.79,"Verlander, Justin"
B,0.76,1.92,"Verlander, Justin"
S,0.39,3.02,"Verlander, Justin"
X,-0.5,2.64,"Verlander, Justin"
S,-0.53,2.15,"Verlander, Justin"
S,-0.05,2.99,"Verlander, Justin"
S,-0.06,2.6,"Verlander, Justin"
B,0.79,0.78,"Verlander, Justin"
S,-0.26,2.44,"Verlander, Justin"
S,0.22,2.24,"Verlander, Justin"
S,-0.14,2.69,"Verlander, Justin"
B,1.07,1.9,"Verlander, Justin"
S,0.53,2.92,"Verlander, Justin"
B,1.29,0.91,"Verlander, Justin"
X,0.61,3.26,"Verlander, Justin"
S,0.18,2.05,"Verlander, Justin"
S,-1.16,2.56,"Verlander, Justin"
B,1.26,2.13,"Verlander, Justin"
B,-0.44,4.04,"Verlander, Justin"
X,0.97,1.11,"Verlander, Justin"
X,0.03,2.67,"Verlander, Justin"
B,0.67,3.72,"Verlander, Justin"
S,-0.81,3.09,"Verlander, Justin"
S,-0.94,2.94,"Verlander, Justin"
X,0.44,2.77,"Verlander, Justin"
B,-1.21,2.25,"Verlander, Justin"
S,0.24,2.99,"Verlander, Justin"
B,0.66,1.11,"Verlander, Justin"
B,-1.16,3.14,"Verlander, Justin"
B,0.35,3.77,"Verlander, Justin"
S,0.88,1.99,"Verlander, Justin"
B,1.76,1.71,"Verlander, Justin"
S,-0.18,2.59,"Verlander, Justin"
S,0.26,3.55,"Verlander, Justin"
S,-0.08,3.74,"Verlander, Justin"
S,0.21,2.14,"Verlander, Justin"
X,0.18,2.16,"Verlander, Justin"
B,0.8,2.27,"Verlander, Justin"
S,0.16,3.06,"Verlander, Justin"
B,0.85,1.62,"Verlander, Justin"
B,-0.32,1.38,"Verlander, Justin"
S,-0.04,3.9,"Verlander, Justin"
B,0.94,2.42,"Verlander, Justin"
X,0.91,2.91,"Verlander, Justin"
S,-0.84,2.35,"Verlander, Justin"
B,-0.11,1.49,"Verlander, Justin"
X,0.96,2.26,"Verlander, Justin"
S,-0.07,3.16,"Verlander, Justin"
S,0.33,2.98,"Verlander, Justin"
B,1.29,1.65,"Verlander, Justin"
S,0.3,3.86,"Verlander, Justin"
S,0.02,2.86,"Verlander, Justin"
X,-0.06,2.55,"Verlander, Justin"
B,1.07,0.68,"Verlander, Justin"
B,-1.7,1.55,"Verlander, Justin"
S,-0.12,2.74,"Verlander, Justin"
S,-0.44,3.36,"Verlander, Justin"
B,-0.14,5.12,"Verlander, Justin"
S,0.13,3.51,"Verlander, Justin"
S,-0.8,2.13,"Verlander, Justin"
X,0.11,3.82,"Verlander, Justin"
B,1.73,1.19,"Verlander, Justin"
S,-0.73,3.18,"Verlander, Justin"
B,-0.48,3.68,"Verlander, Justin"
S,0.41,2.61,"Verlander, Justin"
X,0.47,2.98,"Verlander, Justin"
S,0.29,2.21,"Verlander, Justin"
B,1.14,2.83,"Verlander, Justin"
S,0.8,2.06,"Verlander, Justin"
S,-0.56,2.26,"Verlander, Justin"
S,0.83,2.57,"Verlander, Justin"
S,-0.13,2.96,"Verlander, Justin"
B,0.85,2.46,"Verlander, Justin"
S,0.08,3.08,"Verlander, Justin"
B,0.62,3.76,"Verlander, Justin"
B,-1.57,3.26,"Verlander, Justin"
B,-0.44,4.24,"Verlander, Justin"
X,-0.5,2.61,"Verlander, Justin"
B,0.9,4.01,"Verlander, Justin"
S,0.68,2.04,"Verlander, Justin"
X,0.28,2.72,"Verlander, Justin"
B,1.3,1.56,"Verlander, Justin"
S,0.48,2.99,"Verlander, Justin"
X,-0.03,2.97,"Verlander, Justin"
X,-0.2,1.98,"Verlander, Justin"
